text,tool
а что это за вид?,none

вот мой друг из лагеря{image},add_face_to_db
его зовут Стёпа,none

ты же помнишь что я аллергия на клубнику?,get_memory
а то мама забыла,none

как думаешь почему трава зеленая?,none
а небо синее?,none

вот наш новый диван{image},describe_image
а он такой мягкий!,none

а ты видел последний фильм марвел?,none
я не пошел смотреть потому что болел,none

запомни что я теперь в пятом классе,save_memory
это сложно но интересно,none

вот моя любимая игрушка{image},describe_image
а она светится в темноте!,none

как думаешь что будет через 100 лет?,none
нарисуй как ты это представляешь,text_to_image

а почему снег холодный?,none
я сегодня ел снег и заболел горло,none

вот я на рыбалке{image},describe_image
а это мой улов{image},describe_image

ты же знаешь что я переехал?,get_memory
теперь у меня своя комната!,none

а что ты делаешь когда скучно?,none
я обычно в телефон играю,none

вот моя новая прическа{image},add_face_to_db
а сделай чтобы я был с ирокезом,image_text_to_image

как думаешь динозавры были умными?,none
а то мне кажется они глупые,none

запомни что моя любимая еда - пицца,save_memory
с ананасами!,none

вот я с дедушкой на даче{image},describe_image
а это его огород{image},describe_image

а ты веришь в привидений?,none
я вчера слышал странные звуки!,none

нарисуй как выглядит счастье,text_to_image
а теперь добавь котиков,image_text_to_image

почему люди зевают?,none
я сегодня на уроке зевал и училка ругалась,none

вот мой новый рюкзак{image},describe_image
а там столько карманов!,none

ты же помнишь что у меня день рождения через месяц?,get_memory
буду ждать подарок,none

а как ты думаешь рыбы спят?,none
я сегодня видел как моя рыбка глаза не закрывает,none

вот моя коллекция марок{image},describe_image
а эта самая редкая!,none

запомни что я теперь хожу на карате,save_memory
у меня уже желтый пояс,none

почему вода мокрая?,none
а то я сегодня пролил на тетрадь,none

нарисуй самую смешную рожицу,text_to_image
а теперь добавь ей бантик,image_text_to_image

а ты умеешь свистеть?,none
я научился только недавно,none

вот мой кот спит{image},describe_image
а он храпит как человек!,none

как думаешь сколько весит облако?,none
а то мне кажется оно легкое,none

ты же знаешь что я собрал все лего звёздные войны?,get_memory
это заняло целый год!,none

вот я в зоопарке{image},add_face_to_db
а это жираф{image},describe_image

почему пузыри круглые?,none
а не квадратные?,none

нарисуй как я выиграю олимпиаду,text_to_image
а теперь добавь медаль,image_text_to_image

а ты любишь математику?,none
я ненавижу дроби,none

вот моя поделка из пластилина{image},describe_image
а это дракон!,none

запомни что я теперь вегетарианец,save_memory
не ем мясо уже неделю,none

как думаешь почему птицы не падают когда спят?,none
а то мне интересно,none

вот я на коньках{image},add_face_to_db
а это я упал{image},describe_image

а что будет если смешать все краски?,none
я пробовал - получилась грязь,none

нарисуй моего ангела-хранителя,text_to_image
а теперь сделай его с мечом,image_text_to_image

почему стекло прозрачное?,none
а дерево нет?,none

ты же помнишь что я болею?,get_memory
температура 38,none

вот мой завтрак{image},describe_image
а это полезно?,none

а ты видел как цветет сакура?,none
я мечтаю увидеть,none

нарисуй самый быстрый самолет,text_to_image
а теперь в синих цветах,image_text_to_image

как думаешь муравьи сильные?,none
я видел как он тащил конфету,none

вот я на спектакле{image},add_face_to_db
а это я забыл слова{image},describe_image

почему мы зеваем когда устаем?,none
а то я сегодня зевал на контрольной,none

запомни что я выучил таблицу умножения,save_memory
целиком!,none

вот мой гербарий{image},describe_image
а это самый красивый цветок!,none

а ты умеешь жонглировать?,none
я учусь но пока не получается,none

нарисуй как выглядит дружба,text_to_image
а теперь добавь нас с тобой,image_text_to_image

почему лампочка светит?,none
а батарейка нет?,none

ты же знаешь что у меня новый телефон?,get_memory
с тремя камерами!,none

вот я в лифте{image},describe_image
а он застрял!,none
